"id","address","city","state","zip","retailer_id","lat","long"
216887,"10355 Federal Blvd","Westminster","CO",80260,108,39.8844,-105.025
2506,"10390 FEDERAL BLVD","Federal Heights","CO",80260,5,39.8848,-105.024
205668,"18220 E 104th Ave.","Commerce City","CO",80022,106,39.8849,-104.775
221980,"10350 FEDERAL BLVD","FEDERAL HEIGHTS","CO",80221,109,39.8849,-105.024
116375,"2690 W. 104th Ave, Ste 100","Federal Heights","CO",80234,57,39.885,-105.02
217790,"3905 EAST 104TH AVENUE","THORNTON","CO",80233,109,39.885,-104.942
187063,"10390 N Washington St","Thornton","CO",80229,106,39.8853,-104.98
50447,"6990 CHURCH RANCH BLVD @ REED ST","WESTMINSTER","CO",80021,28,39.8853,-105.075
10495,"3905 East 104th Avenue","Thornton","CO",80233,12,39.8855,-104.941
55286,"15610 E. 104TH AVE.","COMMERCE CITY","CO",80022,28,39.8855,-104.809
37298,"4351 E 104TH AVE","Thornton","CO",80233,5,39.8855,-104.936
12549,"15051 E. 104th Ave","Commerce City","CO",80022,1,39.8856,-104.812
54349,"10410 MELODY DRIVE","NORTHGLENN","CO",80234,28,39.8857,-104.993
225475,"10431 Town Center Drive","Westminster","CO",80021,105,39.8868,-105.075
72,"10445 Reed St","Westminster","CO",80021,3,39.8872,-105.073
167987,"10450 Town Center Drive","Westminster","CO",80021,97,39.8878,-105.077
157140,"10600 MELODY DR","NORTHGLENN","CO",80234,82,39.888,-104.992
146582,"261 WEST 104TH AVENUE","NORTHGLENN","CO",80234,80,39.8889,-104.989
161016,"10655 Westminster Blvd.","Westminster","CO",80020,85,39.8894,-105.07
161356,"10655 Westminster Blvd.","Westminster","CO",80020,86,39.8894,-105.07
157779,"10460 TOWN CENTER DRIVE","WESTMINSTER","CO",80021,82,39.8896,-105.075
71504,"1750 E 112th Ave","Northglenn","CO",80233,35,39.8991,-104.965
52416,"3901 EAST 112TH AVE","THORNTON","CO",80233,28,39.8997,-104.941
56159,"5190 W 113TH AVE","WESTMINSTER","CO",80031,28,39.9013,-105.053
136641,"650 East 120th Avenue","Northglenn","CO",80233,75,39.9015,-104.941
158558,"450 E 120TH AVE, UNIT A2","NORTHGLENN","CO",80233,83,39.9015,-104.941
51526,"11421 WASHINGTON","NORTHGLENN","CO",80233,28,39.9039,-104.978
136164,"2998 West 104th Avenue","Federal Heights","CO",80234,75,39.9108,-105.011
229987,"5180 West 120th Ave","Broomfield","CO",80020,116,39.9122,-105.053
178236,"5160 W. 120th Ave., Ste. J","Westminster","CO",80020,100,39.9125,-105.052
221968,"420 EAST 120TH AVE","NORTHGLENN","CO",80233,109,39.913,-104.982
752,"5190 W 120TH AVE","Broomfield","CO",80020,5,39.9131,-105.052
37178,"750 E 120TH AVE","Northglenn","CO",80233,5,39.9134,-104.977
27741,"3904 E. 120TH. Ave.","Thornton","CO",80229,2,39.9138,-104.941
116382,"832 East 120th Avenue","Northglenn","CO",80233,57,39.9141,-104.978
183574,"5160 W. 120th Ave.","Westminster","CO",80020,104,39.9141,-105.052
183381,"951 E. 120th Ave.","Thornton","CO",80233,104,39.9141,-104.975
148639,"901 W 120th Ave","Denver","CO",80234,78,39.9141,-104.999
225345,"1005 W. 120th Avenue","Westminster","CO",80234,105,39.9141,-105
187291,"3929-B E 120th Ave","Thornton","CO",80229,106,39.9142,-104.941
197619,"852 E 120th Ave","Northglenn","CO",80241,106,39.9143,-104.98
35774,"4001 E 120TH AVE","Thornton","CO",80233,5,39.9143,-104.939
33158,"6775 W. 120TH Ave.","Broomfield","CO",80020,2,39.9144,-105.072
246028,"1251 E 120TH AVE","THORNTON","CO",80233,138,39.9145,-104.973
186933,"1005 W. 120th Ave","Westminster","CO",80234,106,39.9145,-104.994
5629,"3801 E 120th Ave","Thornton","CO",80233,1,39.9147,-104.943
53636,"12057 PECOS","WESTMINSTER","CO",80234,28,39.9147,-105.007
216901,"4530 W. 121st Ave","Broomfield","CO",80020,108,39.9147,-105.045
246540,"4480 West 121st Avenue","Broomfield","CO",80020,137,39.9147,-105.044
196704,"1260 East 1st Ave","Broomfield","CO",80020,106,39.9147,-105.057
225659,"4550 West 121st Avenue","Broomfield","CO",80020,105,39.9148,-105.046
222055,"6765 WEST 120TH ST","BROOMFIELD","CO",80020,109,39.9149,-105.071
186120,"6811 W 120 Ave","Broomfield","CO",80020,106,39.915,-105.072
369,"1001 E 120th Ave","Thornton","CO",80233,3,39.9161,-104.975
21392,"4651 W 121St Ave","Broomfield","CO",80020,4,39.9163,-105.046
199963,"4651 W 121st Ave","Broomfield","CO",80020,106,39.9163,-105.046
2416,"12167 Sheridan Blvd","Broomfield","CO",80020,1,39.9165,-105.055
145109,"12169 Sheridan Blvd","Broomfield","CO",80020,79,39.9172,-105.053
38849,"570 US HIGHWAY 287","Broomfield","CO",80020,5,39.9224,-105.09
136671,"6801 West 120th Avenue","Broomfield","CO",80020,75,39.9245,-105.061
158762,"12163 N. SHERIDAN BLVD","BROOMFIELD","CO",80020,83,39.9245,-105.061
190429,"555 US Hwy 287","Broomfield","CO",80020,106,39.9249,-105.091
100,"500 Summit Blvd","Broomfield","CO",80021,4,39.9265,-105.137
202962,"500 Summit Blvd","Broomfield","CO",80021,106,39.9267,-105.137
205354,"7101 E. 128th Street","Thornton","CO",80241,106,39.9285,-104.96
37671,"1600 COALTON RD","Superior","CO",80027,5,39.9286,-105.147
15121,"2400 E MIDWAY BLVD","Denver","CO",80234,5,39.9287,-105.024
33282,"1601 Coalton Rd.","Superior","CO",80027,2,39.9289,-105.149
195792,"1621 Coalton Rd","Superior","CO",80027,106,39.929,-105.139
56146,"12802 LOWELL BLV","BROOMFIELD","CO",80020,28,39.929,-105.034
54185,"12920 LOWELL BLVD SPACE A","BROOMFIELD","CO",80020,28,39.9296,-105.034
201841,"One W FlatIron Crossing Dr","Broomfield","CO",80021,106,39.93,-105.135
196315,"12910 North Zuni St","Westminster","CO",80234,106,39.93,-105.014
216875,"635A Flatiron Marketplace Dr","Broomfield","CO",80021,108,39.9301,-105.127
33287,"12900 Zuni St.","Westminster","CO",80234,2,39.9301,-105.015
197694,"645 Flatiron Market Pl","Broomfield","CO",80021,106,39.9302,-105.127
161009,"61 West Flatiron Crossing Dr.","Broomfield","CO",80021,85,39.9304,-105.135
161349,"61 West Flatiron Crossing Dr.","Broomfield","CO",80021,86,39.9304,-105.135
251086,"100 E. FLATIRON CIRCLE","BROOMFIELD","CO",80020,153,39.9306,-105.121
17,"7101 E 128Th Ave","Brighton","CO",80602,4,39.9308,-104.906
216872,"1100 Hwy 287 at Miramonte","Broomfield","CO",80020,108,39.9313,-105.089
160213,"271 E Flatiron Cir","Broomfield,","CO",80020,84,39.9314,-105.121
